# The Phase-2 relocation map — one row per moved prefix, authored before the move.
#
# `DEVELOPMENT_PLAN/phase_02_repository_layout_conformance.md` requires this file to
# exist *before* any relocation runs, so `tools/repository_conformance_gate.py` compares
# the tree against a plan rather than against itself. A gate that read the tree and then
# declared it conforming would pass on any tree at all.
#
# Three columns:
#
#   old_prefix   the present-day path, exactly as the tree carried it before the move.
#                A trailing slash means a directory prefix; no trailing slash means one
#                file. Rows are applied longest-prefix-first, so a nested row
#                (`test/live/fixtures/`) wins over its parent (`test/live/`).
#   new_prefix   the destination. The gate refuses a destination
#                `repository_layout_doctrine.md` section 2 does not admit, which is what
#                mutant m3 seeds: a map that lies is caught before the tree is touched.
#   license      why the move is licensed. Either the verbatim first-column cell of a
#                `repository_layout_doctrine.md` section 2.2 row — the roots whose
#                destination needed deciding — or `seven-noun-rule` for a `test/`
#                second level that is simply an eighth role, which section 2 calls
#                non-conforming on sight. A row citing neither is a defect.
#
# The map covers relocation only. A *deletion* stays with its last consumer, which is
# why no row here names `DEVELOPMENT_PLAN/evidence/**` or `test/enumeration/**`: a root
# cannot be deleted while a phase still builds from it, but a rename plus its reference
# update is one edit with no last consumer to wait for.
#
# old_prefix<TAB>new_prefix<TAB>license

# --- Sprint 2.1: test/'s second level collapses to the seven role nouns --------------
#
# The singular/plural pairs come first because a case-insensitive filesystem cannot hold
# `test/ui/` and `test/Ui/` apart at all: on APFS they are one directory that git's index
# remembers as two, so a bulk move of one silently carries the other.

amoebius-runtime/test/provider/	test/spec/provider/	the cabal-only package roots, the lift-era seed roots, and the `amoebius-*` package roots
amoebius-runtime/test/sim/	test/spec/sim/	the cabal-only package roots, the lift-era seed roots, and the `amoebius-*` package roots
amoebius-store/src/	src/	the cabal-only package roots, the lift-era seed roots, and the `amoebius-*` package roots
amoebius-store/test/golden/	test/golden/content_store/	the cabal-only package roots, the lift-era seed roots, and the `amoebius-*` package roots
infernix/src/	src/	the cabal-only package roots, the lift-era seed roots, and the `amoebius-*` package roots
infernix/dhall/	dhall/infernix/	the cabal-only package roots, the lift-era seed roots, and the `amoebius-*` package roots
infernix/app/	test/spec/infernix/	infernix/app/**
infernix-ui/src/	src/	the cabal-only package roots, the lift-era seed roots, and the `amoebius-*` package roots
jitml/src/	src/	the cabal-only package roots, the lift-era seed roots, and the `amoebius-*` package roots
jitml-ui/src/	src/	the cabal-only package roots, the lift-era seed roots, and the `amoebius-*` package roots
app/singleton/Main.hs	app/amoebius/Amoebius/Entry/ControlPlane.hs	app/singleton/**

# --- Sprint 2.4: ui-runtime/ merges into ui/ ----------------------------------------

ui-runtime/	ui/	ui-runtime/**
